proprietaryname,proprietarynamesuffix,nonproprietaryname,dosageformname,routename,startmarketingdate,endmarketingdate,substancename,active_numerator_strength,active_ingred_unit,pharm_classes
ELIQUIS,,apixaban,"TABLET, FILM COATED",ORAL,20121228,,APIXABAN,2.5,mg/1,"Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]"
ELIQUIS,,apixaban,"TABLET, FILM COATED",ORAL,20121228,,APIXABAN,5,mg/1,"Factor Xa Inhibitor [EPC],Factor Xa Inhibitors [MoA]"
FARXIGA,,DAPAGLIFLOZIN,"TABLET, FILM COATED",ORAL,20140108,20170430,DAPAGLIFLOZIN PROPANEDIOL,5,mg/1,"Sodium-Glucose Cotransporter 2 Inhibitor [EPC],Sodium-Glucose Transporter 2 Inhibitors [MoA]"
FARXIGA,,DAPAGLIFLOZIN,"TABLET, FILM COATED",ORAL,20140108,20170831,DAPAGLIFLOZIN PROPANEDIOL,10,mg/1,"Sodium-Glucose Cotransporter 2 Inhibitor [EPC],Sodium-Glucose Transporter 2 Inhibitors [MoA]"
BARACLUDE,,entecavir,"TABLET, FILM COATED",ORAL,20050329,,ENTECAVIR,0.5,mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
BARACLUDE,,entecavir,"TABLET, FILM COATED",ORAL,20050329,,ENTECAVIR,1,mg/1,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
BARACLUDE,,entecavir,SOLUTION,ORAL,20050329,,ENTECAVIR,0.05,mg/mL,"Hepatitis B Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ZERIT,,Stavudine,"CAPSULE, GELATIN COATED",ORAL,19940624,,STAVUDINE,15,mg/1,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ZERIT,,stavudine,"CAPSULE, GELATIN COATED",ORAL,19940624,,STAVUDINE,20,mg/1,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ZERIT,,stavudine,"CAPSULE, GELATIN COATED",ORAL,19940624,,STAVUDINE,30,mg/1,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ZERIT,,stavudine,"CAPSULE, GELATIN COATED",ORAL,19940624,,STAVUDINE,40,mg/1,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ZERIT,,stavudine,"POWDER, FOR SOLUTION",ORAL,19960906,,STAVUDINE,1,mg/mL,"Human Immunodeficiency Virus Nucleoside Analog Reverse Transcriptase Inhibitor [EPC],Nucleoside Analog [Chemical/Ingredient],Nucleoside Reverse Transcriptase Inhibitors [MoA]"
ORENCIA,,abatacept,"INJECTION, POWDER, LYOPHILIZED, FOR SOLUTION",INTRAVENOUS,20090101,,ABATACEPT,250,mg/15mL,"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"
ORENCIA,,abatacept,"INJECTION, SOLUTION",SUBCUTANEOUS,20110729,,ABATACEPT,125,mg/mL,"Decreased Cytokine Activity [PE],Selective T Cell Costimulation Modulator [EPC],Recombinant Fusion Proteins [Chemical/Ingredient]"
AZACTAM,,AZTREONAM,"INJECTION, SOLUTION",INTRAVENOUS,20100401,,AZTREONAM,1,g/50mL,"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"
AZACTAM,,AZTREONAM,"INJECTION, SOLUTION",INTRAVENOUS,20100401,,AZTREONAM,2,g/50mL,"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"
YERVOY,,ipilimumab,INJECTION,INTRAVENOUS,20110325,,IPILIMUMAB,5,mg/mL,"CTLA-4-directed Blocking Antibody [EPC],CTLA-4-directed Antibody Interactions [MoA],Increased T Lymphocyte Activation [PE]"
YERVOY,,ipilimumab,INJECTION,INTRAVENOUS,20110325,,IPILIMUMAB,5,mg/mL,"CTLA-4-directed Blocking Antibody [EPC],CTLA-4-directed Antibody Interactions [MoA],Increased T Lymphocyte Activation [PE]"
AZACTAM,,AZTREONAM,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20100401,,AZTREONAM,1,g/1,"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"
AZACTAM,,AZTREONAM,"INJECTION, POWDER, FOR SOLUTION",INTRAMUSCULAR; INTRAVENOUS,20100401,,AZTREONAM,2,g/1,"Monobactam Antibacterial [EPC],Monobactams [Chemical/Ingredient]"
REYATAZ,,ATAZANAVIR,"CAPSULE, GELATIN COATED",ORAL,20030624,,ATAZANAVIR SULFATE,300,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
REYATAZ,,ATAZANAVIR,"CAPSULE, GELATIN COATED",ORAL,20030624,20150731,ATAZANAVIR SULFATE,100,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
REYATAZ,,ATAZANAVIR,"CAPSULE, GELATIN COATED",ORAL,20030624,,ATAZANAVIR SULFATE,150,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
REYATAZ,,ATAZANAVIR,"CAPSULE, GELATIN COATED",ORAL,20030624,,ATAZANAVIR SULFATE,200,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
REYATAZ,,ATAZANAVIR,POWDER,ORAL,20141219,,ATAZANAVIR SULFATE,50,mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC]"
EVOTAZ,,atazanavir and cobicistat,TABLET,ORAL,20150129,,ATAZANAVIR SULFATE; COBICISTAT,300; 150,mg/1; mg/1,"HIV Protease Inhibitors [MoA],Protease Inhibitor [EPC],Cytochrome P450 3A Inhibitors [MoA],Cytochrome P450 3A Inhibitor [EPC],P-Glycoprotein Inhibitors [MoA],Cytochrome P450 2D6 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B1 Inhibitors [MoA],Organic Anion Transporting Polypeptide 1B3 Inhibitors [MoA],Breast Cancer Resistance Protein Inhibitors [MoA]"
OPDIVO,,nivolumab,INJECTION,INTRAVENOUS,20141222,,NIVOLUMAB,10,mg/mL,"Programmed Death Receptor-1 Blocking Antibody [EPC],Programmed Death Receptor-1-directed Antibody Interactions [MoA]"
OPDIVO,,nivolumab,INJECTION,INTRAVENOUS,20141222,,NIVOLUMAB,10,mg/mL,"Programmed Death Receptor-1 Blocking Antibody [EPC],Programmed Death Receptor-1-directed Antibody Interactions [MoA]"
ONGLYZA,,SAXAGLIPTIN,"TABLET, FILM COATED",ORAL,20090731,20170430,SAXAGLIPTIN HYDROCHLORIDE,2.5,mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA]"
ONGLYZA,,SAXAGLIPTIN,"TABLET, FILM COATED",ORAL,20090731,20170430,SAXAGLIPTIN HYDROCHLORIDE,5,mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA]"
KOMBIGLYZE,XR,SAXAGLIPTIN AND METFORMIN HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20101105,20170430,METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,500; 5,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
KOMBIGLYZE,XR,SAXAGLIPTIN AND METFORMIN HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20101105,20170531,METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,1000; 2.5,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
KOMBIGLYZE,XR,SAXAGLIPTIN AND METFORMIN HYDROCHLORIDE,"TABLET, FILM COATED, EXTENDED RELEASE",ORAL,20101105,20170331,METFORMIN HYDROCHLORIDE; SAXAGLIPTIN HYDROCHLORIDE,1000; 5,mg/1; mg/1,"Dipeptidyl Peptidase 4 Inhibitor [EPC],Dipeptidyl Peptidase 4 Inhibitors [MoA],Biguanide [EPC],Biguanides [Chemical/Ingredient]"
PRAVACHOL,,PRAVASTATIN SODIUM,TABLET,ORAL,20090601,,PRAVASTATIN SODIUM,20,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
PRAVACHOL,,PRAVASTATIN SODIUM,TABLET,ORAL,20090601,,PRAVASTATIN SODIUM,40,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
PRAVACHOL,,PRAVASTATIN SODIUM,TABLET,ORAL,20090601,,PRAVASTATIN SODIUM,80,mg/1,"HMG-CoA Reductase Inhibitor [EPC],Hydroxymethylglutaryl-CoA Reductase Inhibitors [MoA]"
DROXIA,,HYDROXYUREA,CAPSULE,ORAL,20090601,,HYDROXYUREA,200,mg/1,"Antimetabolite [EPC],Urea [Chemical/Ingredient]"
DROXIA,,HYDROXYUREA,CAPSULE,ORAL,20090601,,HYDROXYUREA,300,mg/1,"Antimetabolite [EPC],Urea [Chemical/Ingredient]"
DROXIA,,HYDROXYUREA,CAPSULE,ORAL,20090601,,HYDROXYUREA,400,mg/1,"Antimetabolite [EPC],Urea [Chemical/Ingredient]"
Naprosyn,,naproxen,SUSPENSION,ORAL,19870323,,NAPROXEN,125,mg/5mL,"Cyclooxygenase Inhibitors [MoA],Nonsteroidal Anti-inflammatory Compounds [Chemical/Ingredient],Nonsteroidal Anti-inflammatory Drug [EPC]"
Valcyte,,valganciclovir hydrochloride,"TABLET, FILM COATED",ORAL,20010329,,VALGANCICLOVIR HYDROCHLORIDE,450,mg/1,"Cytomegalovirus Nucleoside Analog DNA Polymerase Inhibitor [EPC],DNA Polymerase Inhibitors [MoA],Nucleoside Analog [Chemical/Ingredient],Nucleoside Analog Antiviral [EPC]"
